Date,Marque,Modele,Annee_modele,Type,Aide_financiere,Demandeur
2016-04-14,Nissan,Leaf,2016,VEE,8 000,Particulier
2016-04-14,Nissan,Leaf,2016,VEE,8 000,Particulier
2016-04-14,Nissan,Leaf,2016,VEE,8 000,Particulier
2016-04-15,Kia,Soul,2016,VEE,8 000,Particulier
2016-04-15,Kia,Soul,2016,VEE,8 000,Particulier
2016-04-15,Nissan,Leaf,2016,VEE,8 000,Particulier
2016-04-15,Nissan,Leaf,2016,VEE,8 000,Particulier
2016-04-15,Nissan,Leaf,2016,VEE,8 000,Particulier
2016-04-19,Nissan,Leaf,2016,VEE,8 000,Particulier
2016-04-19,Nissan,Leaf,2016,VEE,8 000,Municipalité
2016-04-19,Kia,Soul,2016,VEE,8 000,Particulier
2016-04-19,Tesla,Model S,2016,VEE,8 000,Particulier
2016-04-19,Tesla,Model S,2016,VEE,8 000,Particulier
2016-04-19,Nissan,Leaf,2016,VEE,8 000,Particulier
2016-04-19,Ford,Focus Électrique,2016,VEE,8 000,Particulier
2016-04-20,Kia,Soul,2016,VEE,8 000,Particulier
2016-04-20,Kia,Soul,2016,VEE,8 000,Entreprise
2016-04-20,Tesla,Model S,2016,VEE,8 000,Particulier
2016-04-20,Tesla,Model S,2016,VEE,8 000,Particulier
2016-04-21,Nissan,Leaf,2016,VEE,8 000,Particulier
2016-04-21,Tesla,Model S,2016,VEE,8 000,Particulier
2016-04-21,Mitsubishi,i-MiEV,2016,VEE,8 000,Particulier
2016-04-21,Tesla,Model S,2016,VEE,8 000,Particulier
2016-04-21,Tesla,Model S,2016,VEE,8 000,Entreprise
2016-04-21,Tesla,Model S,2016,VEE,8 000,Particulier
2016-04-21,Tesla,Model S,2016,VEE,8 000,Particulier
2016-04-21,Nissan,Leaf,2016,VEE,8 000,Particulier
2016-04-22,Tesla,Model S,2016,VEE,6 000,Entreprise
2016-04-22,Tesla,Model S,2016,VEE,8 000,Particulier
2016-04-22,Tesla,Model S,2016,VEE,6 000,Particulier
2016-04-22,Nissan,Leaf,2016,VEE,8 000,Particulier
2016-04-22,Mitsubishi,i-MiEV,2016,VEE,8 000,Particulier
2016-04-25,Nissan,Leaf,2016,VEE,8 000,Particulier
2016-04-25,Nissan,Leaf,2016,VEE,8 000,Particulier
2016-04-25,Kia,Soul,2016,VEE,8 000,Particulier
2016-04-25,Nissan,Leaf,2016,VEE,8 000,Particulier
2016-04-25,Mitsubishi,i-MiEV,2016,VEE,8 000,Particulier
2016-04-25,Mitsubishi,i-MiEV,2016,VEE,8 000,Particulier
2016-04-25,Nissan,Leaf,2016,VEE,8 000,Particulier
2016-04-25,Nissan,Leaf,2016,VEE,8 000,Particulier
2016-04-26,Tesla,Model X,2016,VEE,8 000,Particulier
2016-04-26,Nissan,Leaf,2016,VEE,8 000,Particulier
2016-04-26,Nissan,Leaf,2016,VEE,8 000,Particulier
2016-04-27,Nissan,Leaf,2016,VEE,8 000,Particulier
2016-04-27,Nissan,Leaf,2016,VEE,8 000,Particulier
2016-04-27,Tesla,Model S,2016,VEE,8 000,Particulier
2016-04-28,Kia,Soul,2016,VEE,6 000,Particulier
2016-04-28,Nissan,Leaf,2016,VEE,8 000,Particulier
